id,selected,part_of_speech,tags,english,chinese,norwegian_base,verb_present_tense,verb_past_tense,verb_imperative,noun_plural,noun_singular_definite,noun_plural_definite,adjective_neuter_form,adjective_plural_form,adjective_comparative,adjective_superlative_indefinite,adjective_superlative_definite,adverb_comparative,adverb_superlative
wb_12262ed8337939bc27cef9a8aff837e65091ce907d391623535772407fd04a4a,true,noun,duolingo|time,year,年,år,,,,årer,åren,årerne,,,,,,,
wb_81fccf3b8ae68e377b857e5dfea98ce2f0253bdde03d1190522ee49930ec8e87,true,noun,,day,日,dag,,,,dager,dagen,dagerne,,,,,,,
wb_69763a5d6a1aa380d892d809b7f0b4997647a8b14fc7e199c2e3acb03062f1a9,true,noun,,country,国家,land,,,,lander,landen,landerne,,,,,,,
wb_473d777643acd0bb51ca0d29565371ec639fbfb68440c754ce480c888d7e3aa4,true,noun,,time,时间,gang,,,,ganger,gangen,gangerne,,,,,,,
wb_6675d49f5df395e8d203ca3532951081df79a4e33993903476b37978ed4a2db6,true,noun,,time,时间,tid,,,,tider,tiden,tiderne,,,,,,,
wb_5ac5dee8009fadf70491906e5ed9d7ad6ee23fa565fd57a66cf927e6a21b47a8,true,noun,,child,孩子,barn,,,,barner,barnen,barnerne,,,,,,,
wb_23043a38c7c18a687a347a80fd9efae82c38f7cc096b6c8d9f0056dc28fe28b2,true,noun,,the world,世界,verden,,,,verdener,verdenen,verdenerne,,,,,,,
wb_588755efe14c35b022076889e73ee7d0d1e142eb803dfe30fa2974897b37e50d,true,noun,,church,教堂,kirke,,,,kirker,kirken,kirkerne,,,,,,,
wb_5139484ef02190b3544d0249821bdbe6d337536b29569c2902cc82139fcfd5a5,true,noun,,part,部分,del,,,,deler,delen,delerne,,,,,,,
wb_bb02e413113acbbe2eeb6124426b3c457f0936e75187ee5d9cc3d2b2249e5f23,true,noun,,people,人,folk,,,,folker,folken,folkerne,,,,,,,
wb_230b3023c2c7bb7d3c4d1f4f9b47a56f681e8d011c5f67061bbfc134bb3db27e,true,noun,,percent,百分比,prosent,,,,prosenter,prosenten,prosenterne,,,,,,,
wb_a139c1521db3a31e42b45b8751a5eb238c077d4f569a6f92daf59d8de1c43558,true,noun,,life,生活,liv,,,,liver,liven,liverne,,,,,,,
wb_863da113e8e008478f53dcca271731c823bab81cd3e0c3aa49be22049f6886f5,true,noun,,case,案例,sak,,,,saker,saken,sakerne,,,,,,,
wb_f80a875cbb0a2bd5fc6369419027dedb10552735454870408630c40eaecde77d,true,noun,,human being,人类,menneske,,,,mennesker,mennesken,menneskerne,,,,,,,
wb_e962507756c87ffaa83969da3939b9caef3604e61ad95ccfc58a857e96118a0a,true,noun,,man,男人,mann,,,,manner,mannen,mannerne,,,,,,,
wb_fad209517a998a03f9460306e5ce530c0db7b86c91efdc0c5e16064f4fdbbe80,true,noun,,questions,问题,spørsmål,,,,spørsmåler,spørsmålen,spørsmålerne,,,,,,,
wb_8b0d934dd7a4b63d848101f2f55a5d73c8c423b1c315ab3bd98d9d2853564b40,true,noun,,State,状态,stat,,,,stater,staten,staterne,,,,,,,
wb_4ecabcaa4c919a46ef4ae74ef6782169db1477c1e562256cf4574f0c4d874f15,true,noun,,place,地方,sted,,,,steder,steden,stederne,,,,,,,
wb_3daa402814186868847405891390915c2450861bc4c8180e65085e319a053ca1,true,noun,,government,政府,regjering,,,,regjeringer,regjeringen,regjeringerne,,,,,,,
wb_5a3f056370c8b502de5ea50ce7d96308bbee20a43a9d9057ab2357b4aa42e91e,true,noun,,relationship,关系,forhold,,,,forholder,forholden,forholderne,,,,,,,
wb_18188f3fcaab7f2f5b1555f73ab397aa3dc6c23670bd2052389391f0f737d5fb,true,noun,,party,聚会,parti,,,,partier,partien,partierne,,,,,,,
wb_c51bed36639e3f0741fe14165e64c42f951eb3a9c5403dd186af38ce7396fbf3,true,noun,,problem,问题,problem,,,,problemer,problemen,problemerne,,,,,,,
wb_400820690b0a020422cac9773f0cd10abb59e1260d27a715af5c1ada04f453a8,true,noun,,fight,战斗,kamp,,,,kamper,kampen,kamperne,,,,,,,
wb_0026a7ee2332cdb41d8855eed448e1989176dc27e85ed6b162d5d14f4c3b9053,true,noun,,reason,原因,grunn,,,,grunner,grunnen,grunnerne,,,,,,,
wb_1a4eef1c871ead0878da9f1832bf2f428073b3ef48416236cce9f1344806d61d,true,noun,,mother,妈妈,mor,,,,morer,moren,morerne,,,,,,,
wb_c316d7bdedd1671f9fef9e943ad35035992da149e0e4015bb052b8371bef6fa5,true,noun,,week,周,uke,,,,uker,uken,ukerne,,,,,,,
